,cluster_size,decay_biphasic_ratio,decay_curvature,decay_kurtosis,decay_linearity,decay_r2,decay_residual_std,decay_skew,decay_tau,dist_aai_sum,dist_aai_trapz,dist_skew,distance,dominance_score,iso_aai_sum,iso_aai_trapz,iso_skew,isolation,local_rank,local_rank_norm,prom_gap,rise_slope,spike_prom,time_to_parent
dist_aai_trapz,0.014160203593702958,0.0805303146604801,0.05814665172758393,0.12222713803075136,0.17909285029472644,0.06953068173972654,0.18482673500504654,0.0036554504900179197,0.10123655880770444,3.469112163329441,0.0,0.1012071115883999,0.354263580090052,0.335412521627767,1.0340620105902825,1.5461044049050554,0.06550018233067778,0.10620356290740207,0.052029625650153344,0.23654347646554252,0.333617535821471,0.1876992473059138,0.33976452222245723,0.06700773600455734
dist_skew,0.018867773946517286,0.012070310176408805,0.02084102014092548,0.0,0.004983369939864479,0.0004778941982941376,0.04071479969386438,0.04540154026962839,0.0,0.10452961261814453,0.1012071115883999,0.0,0.08832322264217085,0.017641050644133793,0.06683510315594687,0.04012558461072424,1.3129158426471754,0.012945569316623828,0.04798129752839442,0.0,0.019204950060212722,0.06248415673952179,0.0,0.0
distance,0.08151745311902148,0.03335693746250845,0.1435000481514137,0.060299432429835376,0.07812661647486419,0.05557051494709642,0.08616897684670044,0.030343104982869518,0.24047668443637393,0.3332493119892683,0.354263580090052,0.08832322264217085,0.0,0.2765411911430822,0.08771814673307965,0.08468968112831643,0.07271071602195067,1.3112996644715702,0.22501548344810418,0.2358607766125671,0.2775234664236115,0.16531951461551797,0.2267056042418587,0.0484264109079422
dominance_score,0.047419847804689885,0.03148946613196135,0.1099292064562214,0.11537140955906922,0.14431485150657486,0.07534483261678493,0.15827047689645957,0.09898545771666467,0.15027809518176238,0.25740115535185315,0.335412521627767,0.017641050644133793,0.2765411911430822,0.0,0.13478661790546287,0.18577957041504312,0.014215615544242555,0.33543826207416494,0.6879800372697544,0.8465428516735543,5.053284490548553,0.22330697521214837,0.8572406873161935,0.2473983532359041
iso_aai_sum,0.0,0.18110626944142805,0.1683860482855215,0.1273124307879121,0.17706816337117437,0.18233142894410093,0.19086703072610156,0.17108533076139754,0.1570303832041373,1.5096983838453455,1.0340620105902825,0.06683510315594687,0.08771814673307965,0.13478661790546287,0.0,3.1998359248374797,0.15259985938342657,0.28190420081367207,0.0,0.10086295439408022,0.13702718276043058,0.10720293680596571,0.137761153940251,0.01439058533974591
iso_aai_trapz,0.0,0.14892229656692146,0.17478431969159902,0.17440990378461896,0.16827006579196002,0.17493277015011288,0.2157151893221556,0.1481466776337954,0.15820756523248636,1.074399294291568,1.5461044049050554,0.04012558461072424,0.08468968112831643,0.18577957041504312,3.1998359248374797,0.0,0.15292644445449488,0.2530318944348584,0.011198761002412017,0.13994582397101607,0.18773227476418408,0.13708270026813718,0.19190809495909722,0.03992491874705095
iso_skew,0.0,0.05737166591832721,0.011361154976720966,0.0,0.02199153459780745,0.0077036295644035135,0.03061189135408493,0.022082313839257406,0.0004939221240498615,0.08072828002682897,0.06550018233067778,1.3129158426471754,0.07271071602195067,0.014215615544242555,0.15259985938342657,0.15292644445449488,0.0,0.12615388502626668,0.0018708332034869102,0.026518574304938758,0.01519658759036635,0.05127597350845381,0.014720729122270626,0.029435360526938625
isolation,0.00273778264743485,0.06563506996734536,0.05326561896896398,0.09639051527113995,0.08309986334428077,0.0641736518513536,0.0681026238552298,0.12167256811679539,0.18211527032907182,0.08978296663150287,0.10620356290740207,0.012945569316623828,1.3112996644715702,0.33543826207416494,0.28190420081367207,0.2530318944348584,0.12615388502626668,0.0,0.2879371410517757,0.3253713741088755,0.3362914520381768,0.10973878150749927,0.22156482355598706,0.048834177536378975
local_rank,0.29772358420539846,0.0,0.06867196962200128,0.07143565728307144,0.06935067039645393,0.09100107568175497,0.0643709798662202,0.02032292163133098,0.16329480991078094,0.04130081111995909,0.052029625650153344,0.04798129752839442,0.22501548344810418,0.6879800372697544,0.0,0.011198761002412017,0.0018708332034869102,0.2879371410517757,0.0,0.8477365934615304,0.683006014637481,0.15641491977381472,0.29171513047629727,0.21269541651045532
local_rank_norm,0.0,0.021494111253622217,0.08852384413554559,0.08276594429957429,0.13558685967049633,0.03162331228945403,0.12103366531181248,0.08631278948095011,0.11073300767354799,0.18633249883064273,0.23654347646554252,0.0,0.2358607766125671,0.8465428516735543,0.10086295439408022,0.13994582397101607,0.026518574304938758,0.3253713741088755,0.8477365934615304,0.0,0.8429245023230745,0.24315849624542518,0.5088853651431897,0.23230278528963666
prom_gap,0.04715718679477465,0.030588548154613093,0.1086579108113177,0.11564068560151552,0.14216732018256906,0.07309729659782449,0.15714608615627013,0.0979241912751847,0.14982822619283698,0.2562485273451818,0.333617535821471,0.019204950060212722,0.2775234664236115,5.053284490548553,0.13702718276043058,0.18773227476418408,0.01519658759036635,0.3362914520381768,0.683006014637481,0.8429245023230745,0.0,0.22321944911606728,0.856474518577645,0.2419152749465494
rise_slope,0.0020974358490786216,0.031412408443529216,0.12056974645969132,0.11537793858073697,0.1641054736889489,0.10704072097789852,0.13234063482262903,0.09498735190774044,0.18303063714749257,0.1663058239907118,0.1876992473059138,0.06248415673952179,0.16531951461551797,0.22330697521214837,0.10720293680596571,0.13708270026813718,0.05127597350845381,0.10973878150749927,0.15641491977381472,0.24315849624542518,0.22321944911606728,0.0,0.25907856741951196,0.07952938292648049
spike_prom,0.09310620800992808,0.0201587052794705,0.16764045547056972,0.06163024230775482,0.17216877231436056,0.13052870823393792,0.18271730543896103,0.1377777623201435,0.2519677271084899,0.2511988264981231,0.33976452222245723,0.0,0.2267056042418587,0.8572406873161935,0.137761153940251,0.19190809495909722,0.014720729122270626,0.22156482355598706,0.29171513047629727,0.5088853651431897,0.856474518577645,0.25907856741951196,0.0,0.043820632762888945
time_to_parent,0.08012294788060514,0.0,0.0,0.0,0.02989854320408525,0.03266323987156472,0.038426801896062734,0.0013433490460208475,0.022701269236193644,0.027049190666986966,0.06700773600455734,0.0,0.0484264109079422,0.2473983532359041,0.01439058533974591,0.03992491874705095,0.029435360526938625,0.048834177536378975,0.21269541651045532,0.23230278528963666,0.2419152749465494,0.07952938292648049,0.043820632762888945,0.0
