derivative_skew,spike_prom_mean,label
0.05298508361003901,0.2940973900778349,0
-0.018766614621419094,0.13362110661608834,0
0.1196402156360052,0.1345737711588542,0
-0.07185772485796041,0.17444581634858072,0
0.02097125011259872,0.1563902916908264,0
1.2722929772230738,0.18047159666364845,0
-0.038068119642216354,0.14143603667616844,0
0.08265898489374011,0.16836146861314774,0
0.1638207028385742,0.18791880962010976,0
0.27312852455227427,0.21932696875403906,0
0.25631324789761256,0.12211091479947488,0
-0.10086373116892457,0.20866218143039278,0
0.0017156807099337561,0.12380947396159174,0
0.04366323189715067,0.13868365360028817,0
0.15069977397653547,0.16094475307980102,0
0.20671914521486373,0.11603170484304426,0
0.0547460646190429,0.15956609043581732,0
0.19265557317190757,0.15294896587729453,0
0.6925833037418875,0.2725565987474778,0
-0.2732144802580641,0.0945060493854376,0
-0.07361642914768318,0.1691890500687264,0
-0.030089213013813444,0.11474045912424725,0
0.16502830766348617,0.21743190649783972,0
0.6663773058086857,0.1669070896175172,0
-0.0494498756162992,0.16162843599038967,0
4.855084943926869,0.18017604909837245,1
1.288781082238997,0.31332417049191214,0
0.4977341228197188,0.13787021597226462,0
0.1607869738005723,0.145923325791955,0
-0.0027345592225179994,0.14872297934996778,0
0.008830104009203872,0.21281257663454328,0
0.027574807061150036,0.15802027089255197,0
0.0674758451423518,0.20090842937168324,0
0.2842548202272987,0.20067168712615968,0
0.17120729053728373,0.18142397801081342,0
-0.030141841253983812,0.1573337414047935,0
0.11450460816858385,0.15294630964597064,0
1.073585170874215,0.18584178866762102,0
0.11812121158436725,0.1857137546771103,0
1.6193208839278228,0.23210729459921517,1
0.32200198754747733,0.12260492024598299,0
0.30069947548111564,0.12842075109481815,0
-0.03702438285455796,0.16547582017050846,0
-0.37363088656454335,0.1398522036917069,1
0.13074075741303168,0.161945540414137,0
-0.004574611047320292,0.1295812442384917,0
-0.29202784436210144,0.14691371737104478,0
0.10952474257052264,0.19376050068272488,0
0.09240582898536855,0.12914600809415183,0
0.017107739417984557,0.1435413562890255,0
0.041406500825820175,0.13483265837033592,0
0.27837713308967793,0.16435129675600266,0
0.009488158769110487,0.12747437761675925,0
-0.26241632739813786,0.18276094227302364,0
0.05295142639779246,0.11859781678233826,0
-0.051648703939557304,0.11869648122787475,0
-0.27348767016857944,0.18178625802199044,0
-0.0066864503551612225,0.12712081030563072,0
-0.04185321299976453,0.2326015818864107,0
1.659250246949277,0.21520450178420908,0
-0.20466294849953026,0.14299663587620384,0
0.09553755472465685,0.18367177122517636,0
-0.005915807223124828,0.10809367136521772,0
0.5559017357423245,0.13139527440071105,0
-0.06611492880561819,0.18416462996426752,0
0.24642160660317972,0.16050331556435785,0
-0.05972459109533386,0.19269276789256506,0
-0.29741366499174565,0.1881491449901036,0
0.015355988646751558,0.20278911084839793,0
0.027478139587458626,0.1947495882851737,0
-0.06145567777681187,0.13219348354773086,0
0.34490930410657883,0.23337394098440806,0
0.02941703924430027,0.19899435585195366,0
-0.02099810242800162,0.2124534162315162,0
0.15338381164750567,0.13113233424999096,0
-0.06577733958576631,0.1492529422896249,0
0.014804727931931579,0.16741936899000603,0
-0.10472809484578327,0.1383861595392227,0
