day,treatment,n_recordings,detected_roi_mean,detected_roi_sd,active_roi_mean,active_roi_sd,active_fraction_mean,active_fraction_sd,spike_rate_mean_hz,spike_rate_sd_hz,group_count_mean,group_count_sd,group_size_mean,group_size_sd,fraction_grouped_mean,fraction_grouped_sd,groups_per_1000_detected_mean,groups_per_1000_detected_sd,fraction_detected_grouped_mean,fraction_detected_grouped_sd
6,BP,4,1125.25,300.4877978665135,252.0,87.28115489611719,0.2291976007308298,0.06641287929065474,0.07665190950751319,0.005265855874355344,13.5,4.795831523312719,2.0967765894236483,0.12036605226406379,0.11379941134848083,0.03133846435337658,12.985994978264792,7.056660327249636,0.027208358699888226,0.014440546572788935
6,IOBP,5,922.2,245.7553661672518,253.8,110.88597747235671,0.27032887125095445,0.05413619202716072,0.0733632973845005,0.005466218651749106,14.4,7.436396977031283,2.037037037037037,0.08281733249999224,0.11318717950840398,0.016388467368358518,15.216539071392393,4.3489630127561485,0.03119469276578555,0.009945661393779337
7,BP,5,1252.0,361.9689213178391,646.4,272.3064450210461,0.5076108737521741,0.0895838694713329,0.1066795963806676,0.009987691906879682,61.6,32.39290045673589,2.3757307598121065,0.28611235836199406,0.2231802448991933,0.06215522340017723,48.17342298034263,16.482189539220634,0.11731157072616423,0.0528398503839771
7,IOBP,5,769.2,351.5475785722325,337.0,198.79386308435178,0.437089130164429,0.1056507208838715,0.08984764769282849,0.00687029639681842,13.8,15.023315213360863,2.0972222222222223,0.16256527653777259,0.07283870813282578,0.043824813314406005,15.56705294057518,11.166682094021482,0.03398501606619625,0.027801545354356423
10,BP,5,1229.2,350.0331412880786,587.0,297.8061450004012,0.4727664444119745,0.15405514789909272,0.10562350148985629,0.022422064285505038,39.2,37.57259639684221,2.592164502164502,0.6892030562052599,0.1654860767966162,0.11689862356146269,30.808784396692545,22.053340586842932,0.09104648405709896,0.09270296357187754
10,IOBP,5,826.2,313.38187567247724,383.8,148.5722046683026,0.47704090422862644,0.10263986237213168,0.08197750443220511,0.006121615282721615,14.0,11.811011811017716,2.1107142857142858,0.08151937293223809,0.07046565783724601,0.030571358638346785,15.958640101272238,7.3711647649164584,0.0339665946202191,0.016969476119966576
13,BP,5,1182.8,359.3698651807077,533.4,205.41737998523885,0.4536559134870193,0.09064640478561255,0.11830064724201857,0.012341753516510201,11.2,7.791020472312982,2.119565217391304,0.16733482954718099,0.041861250850963067,0.01969666224245952,9.438609260456087,5.900699103658475,0.0201254602669966,0.012745738321768306
13,IOBP,4,817.75,203.66373429422006,509.5,140.0488010183117,0.6226855594983743,0.04304065056668845,0.08846676310204439,0.0032572064972577093,11.25,8.845903006477066,2.03125,0.06250000000000003,0.04105577346047293,0.022249481729495372,12.558981327429745,6.976579173981552,0.025826177952309917,0.01532517088603736
21,BP,5,598.2,425.02670504334196,0.8,0.8366600265340756,0.0009696519279092071,0.0009156483459159577,0.07150715071507151,0.03899187810439445,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
21,IOBP,5,789.8,173.02947725748925,486.6,137.00109488613586,0.6098305662248421,0.048618555773366226,0.07103192912750615,0.004425309449818921,16.4,9.235799911215054,2.049820788530466,0.08387020187745776,0.06573751360331351,0.021910554704120636,19.6902782050855,6.918407249283735,0.04077839306452917,0.016118647613420856
28,BP,5,389.0,111.64452516805291,2.0,1.8708286933869707,0.0061238217364175855,0.005842227795314665,0.11551155115511552,0.017823819302551867,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
28,IOBP,5,719.8,187.15955759725443,564.4,176.48031051649926,0.7780867177827743,0.07079532464195396,0.07987793877246632,0.004338295306800848,17.4,4.219004621945797,2.168295739348371,0.06799270564778548,0.06826361278033741,0.006781353903445861,24.446371548499105,2.7910298122311246,0.052979154063279396,0.005893365542229248
